F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42
1.2737,0.9743,29.5756,2.388,78.0,30.0,1.3889,158.6,13.19,12.57,8.294,90,147,0,0,44.0,46.2,88.2,27.7,5.03,0.5,4.195,16.558,4.4371,152.72,74.1,1.063,93.2,90.31,43.2,3.937,5.84,67.16,1.763,357.2,5.57,37.2,0,0,0,0,0
1.2298,0.8656,20.5701,2.197,59.7,36.1,1.4643,168.2,19.67,7.66,5.8333,81,156,33,0,20.05,42.84,112.6,24.7,0.7,1.31,5.621,25.08,5.6356,266.45,8.0,0.851,38.0,38.3,84.0,19.257,3.56,77.12,1.009,282.8,4.55,50.2,1,0,0,1,0
1.4414,1.0528,27.1764,2.46,71.1,31.6,1.5649,167.8,15.19,15.41,5.8184,68,145,0,0,16.44,39.73,58.3,27.9,1.58,2.36,5.642,29.927,3.854,234.16,1.0,1.144,66.8,45.09,84.4,1.907,9.07,70.97,1.918,372.9,5.81,14.5,0,0,0,0,0
1.2546,0.8313,28.7504,2.307,52.6,36.3,1.6025,160.2,13.65,18.05,4.3427,97,140,49,0,24.67,46.72,66.3,21.8,5.75,0.23,4.977,17.524,4.4713,31.75,5.7,1.263,56.7,13.66,46.2,5.889,5.44,71.76,2.638,267.2,3.1,21.1,0,0,0,1,0
1.5297,0.8607,32.8757,2.447,78.7,28.7,1.0738,191.4,17.01,16.4,4.9235,83,123,0,0,45.94,45.63,84.8,15.5,2.17,2.27,5.248,23.025,2.9284,34.58,38.3,1.021,99.1,57.47,38.5,0.839,18.07,74.9,0.736,282.0,3.42,51.8,0,0,0,0,0
1.0494,1.2645,19.9463,2.511,103.3,41.6,1.2116,172.8,15.55,13.85,6.4247,83,124,0,3,6.16,45.63,129.4,30.4,3.66,0.2,5.774,21.763,3.3027,7.75,6.5,1.287,45.6,43.62,106.8,9.521,16.09,70.02,0.667,350.8,6.41,69.2,0,0,0,1,0
2.0118,0.7339,26.1109,2.459,79.6,29.1,1.9689,178.4,17.62,21.92,5.0298,76,161,0,0,29.78,47.17,104.7,18.0,1.64,1.63,5.641,26.429,3.7906,148.38,34.5,1.448,60.4,42.25,59.3,5.378,7.26,69.74,3.024,391.6,2.14,70.9,0,0,0,1,0
1.0925,0.9851,16.8332,2.528,92.1,28.5,1.0667,172.5,14.64,16.44,5.9351,79,113,0,0,34.34,42.47,40.1,22.9,4.7,0.2,6.284,23.96,3.547,105.5,13.1,1.175,79.9,77.21,52.6,5.003,6.48,69.26,1.838,490.5,4.4,45.1,0,0,0,0,0
1.8072,0.9237,23.1794,2.484,99.2,45.9,1.9911,181.2,17.03,9.96,6.3045,78,138,0,0,5.0,36.22,133.6,47.3,2.55,2.47,5.716,8.761,1.9636,134.61,12.6,1.138,36.9,52.4,122.4,3.978,13.68,72.85,2.326,168.7,5.09,64.1,0,0,0,0,0
1.6207,0.5684,28.7544,2.407,64.1,36.1,1.3896,168.6,12.59,19.86,3.4129,92,118,0,2,25.89,43.36,64.9,28.9,2.8,3.34,4.208,11.775,3.2918,177.93,17.3,0.956,92.1,44.1,58.9,2.663,11.96,72.31,2.437,310.3,4.55,21.7,1,0,0,0,0
1.5234,0.4578,26.6718,2.376,90.9,33.6,1.6631,168.5,14.27,11.13,5.4913,105,157,0,0,16.12,40.03,71.9,38.8,1.48,2.55,6.295,15.853,3.2795,91.52,18.1,1.003,79.1,22.68,52.5,2.814,5.97,67.48,2.729,294.9,4.96,19.7,1,0,1,0,0
1.233,0.8497,36.0727,2.176,110.7,21.2,1.6185,173.1,17.74,14.1,6.0204,78,156,0,0,30.79,49.58,84.0,16.4,1.17,3.02,4.412,24.396,2.9473,7.28,10.1,1.364,93.3,7.16,108.3,13.629,11.34,71.8,1.477,255.3,8.34,56.4,0,0,0,0,0
1.443,1.2528,24.2317,2.268,79.4,49.7,0.9815,171.7,19.42,20.05,5.5076,66,137,52,0,23.71,42.26,102.4,24.1,2.14,1.97,4.139,29.151,2.1689,17.96,41.9,1.298,39.3,32.13,115.2,10.724,12.81,66.11,3.361,384.5,6.85,36.1,1,1,0,0,0
1.4567,0.7617,27.4002,2.557,78.7,46.0,1.2727,172.0,12.72,14.36,3.4378,90,119,0,0,34.59,42.95,95.6,14.3,0.92,2.88,5.347,15.642,2.7325,2.0,4.2,1.042,33.3,47.68,52.4,2.061,8.19,63.55,1.434,323.2,4.98,68.5,1,0,0,1,1
1.2749,0.8846,30.0269,2.405,86.5,26.9,1.5079,165.5,16.76,16.89,6.3607,80,142,0,0,7.8,42.66,66.7,10.8,6.52,1.48,4.317,15.613,2.5689,45.59,7.0,1.441,75.6,32.66,84.3,3.854,6.04,66.23,2.304,159.2,5.79,48.2,0,0,1,0,0
1.5371,1.4829,30.9465,2.335,90.1,33.7,1.0648,171.5,15.64,15.05,5.8243,79,143,0,0,34.94,41.45,109.5,22.1,1.24,2.79,5.304,19.086,3.1719,60.65,32.2,1.219,20.5,8.57,52.3,1.158,6.3,66.5,2.824,120.0,4.76,49.4,0,0,0,0,0
1.2689,1.1873,31.8907,2.387,54.4,34.5,1.392,166.1,15.62,19.66,3.3676,74,144,0,0,19.36,41.03,75.0,17.5,1.5,2.65,6.898,13.37,2.315,40.13,18.0,1.01,62.4,86.18,61.4,0.493,2.48,71.43,0.913,325.2,3.15,88.7,0,0,0,1,0
1.3073,1.001,25.6692,2.492,91.7,33.3,1.0349,171.9,19.28,17.9,4.3838,66,113,0,0,52.36,40.74,96.3,8.0,3.39,1.92,5.168,29.986,4.8197,65.05,29.6,1.438,35.4,61.25,67.4,2.863,4.66,66.31,0.519,317.5,6.19,52.7,0,0,0,1,1
1.5653,0.9606,22.6389,2.512,98.2,44.3,1.1552,162.3,22.48,16.08,5.9988,90,113,77,0,38.45,45.46,82.7,23.4,2.4,2.25,6.004,17.858,2.4444,60.31,24.2,1.168,48.6,44.1,73.8,0.644,9.19,73.77,8.0,324.8,5.13,48.3,0,0,0,0,0
1.3725,0.5834,24.3413,2.369,109.4,51.6,1.682,154.4,14.76,17.16,7.0581,85,136,0,0,13.75,42.49,73.2,26.5,5.67,1.11,6.096,20.682,2.1433,14.88,21.6,1.196,113.4,23.41,135.8,2.493,18.41,62.32,1.947,343.9,4.46,5.0,0,0,0,1,0
1.4509,0.93,35.8876,2.361,58.8,38.3,0.9413,185.7,15.45,15.68,6.0092,84,121,0,0,12.76,42.23,74.2,27.2,3.86,0.94,4.538,20.782,3.0945,19.84,31.9,1.012,72.6,74.24,62.2,14.28,6.66,69.18,0.543,120.0,5.26,66.9,1,0,1,0,0
1.7016,1.3013,24.5381,2.381,73.8,41.7,1.1578,178.9,10.61,10.18,4.8958,78,159,0,0,27.72,46.87,77.3,22.0,0.97,2.22,5.213,25.482,3.4236,70.73,58.7,1.359,68.6,72.99,36.6,4.852,19.13,71.9,0.709,405.7,5.27,55.1,0,0,0,1,0
1.0887,1.3822,31.0122,2.237,82.5,41.0,1.5608,157.0,17.08,11.35,7.2423,99,97,0,0,5.0,46.49,62.3,8.0,9.44,3.01,7.888,24.922,4.506,53.18,24.0,0.984,89.0,23.83,91.9,1.564,7.06,71.59,0.756,359.3,7.51,51.9,0,0,0,0,0
1.4608,1.0879,34.4729,2.434,69.4,26.8,1.8755,154.3,12.21,24.56,4.0426,68,149,38,0,26.39,39.36,125.2,29.5,2.44,1.61,3.73,20.452,2.969,14.31,439.8,1.07,124.4,29.9,62.9,28.145,9.83,74.38,1.008,422.4,3.51,58.8,0,0,0,0,1
1.7843,1.3633,36.5845,2.368,120.7,30.5,1.7393,172.2,10.46,11.62,6.0066,69,123,75,0,9.83,44.01,101.9,28.0,1.9,1.69,6.608,20.634,3.999,57.39,7.0,1.123,63.2,54.98,54.2,5.621,13.22,69.08,1.637,300.8,5.77,78.5,0,0,0,0,0
1.2649,0.8366,34.2345,2.345,86.6,35.8,0.7196,170.5,17.33,8.66,3.7911,79,143,0,0,32.56,40.9,62.5,42.1,2.53,3.14,6.362,20.074,2.7895,21.79,12.1,1.196,82.4,5.0,47.9,2.45,4.3,73.09,2.28,268.7,5.24,50.1,0,0,0,0,0
1.396,1.1426,16.0,2.499,81.1,47.3,1.2998,166.4,15.71,16.39,4.2988,73,128,57,0,16.93,39.39,117.6,37.1,1.23,1.85,4.926,13.084,3.7232,9.76,172.8,0.88,66.2,42.16,95.3,4.156,10.36,75.89,0.735,290.0,5.45,32.7,0,0,0,0,0
1.5163,0.7933,24.0721,2.196,60.8,28.0,2.0202,175.4,11.34,17.57,7.1962,73,126,0,0,41.36,45.37,136.0,33.7,0.33,3.29,4.343,11.594,2.6381,9.27,22.6,0.754,92.7,38.42,89.0,6.334,7.09,73.25,1.006,246.2,6.59,56.7,1,0,0,0,0
1.4988,0.9239,25.1893,2.324,107.6,29.9,1.4728,175.5,14.32,15.99,4.6134,86,130,0,0,31.02,45.42,66.9,16.7,6.96,1.9,6.919,23.462,3.0386,23.93,11.3,0.866,107.2,67.28,73.3,3.789,14.04,70.22,0.643,286.4,5.82,47.8,0,0,0,0,0
0.9645,0.9131,26.9747,2.407,88.3,48.0,0.7108,165.4,20.91,18.57,3.1808,99,157,0,0,32.95,44.9,89.4,32.0,4.26,3.18,4.639,17.65,3.9365,22.26,38.5,1.248,49.7,75.14,46.1,18.374,2.0,71.64,0.628,326.1,7.79,50.7,0,1,0,1,1
1.4299,1.152,31.0056,2.317,88.2,34.6,1.3818,174.3,19.33,17.42,4.6248,83,111,63,0,25.34,37.05,53.0,47.4,2.15,1.72,3.392,27.546,3.5078,53.85,158.0,1.07,91.6,5.0,92.5,8.929,17.69,68.46,5.297,296.9,5.77,11.4,0,0,0,1,0
1.3906,1.6293,32.8171,2.205,80.5,22.7,1.7802,165.9,13.77,19.3,5.0984,66,161,35,0,13.61,38.19,127.0,31.5,0.39,0.27,5.241,20.29,2.4631,183.37,6.4,1.5,65.4,18.73,77.7,10.584,5.82,72.29,1.602,252.7,7.29,46.7,0,0,0,0,0
1.6432,0.8456,31.1395,2.245,76.3,42.7,1.1061,181.6,19.34,17.97,6.1145,94,111,0,0,49.48,46.16,89.2,38.7,3.43,3.12,6.064,18.065,1.8717,85.09,4.4,0.718,57.3,69.04,76.4,1.89,16.14,70.73,1.42,233.3,7.71,33.6,0,1,0,0,0
1.3545,0.5899,24.3246,2.512,100.7,43.4,1.878,169.6,18.93,11.75,3.8753,76,140,0,0,26.73,44.21,72.6,21.6,3.89,3.23,4.045,14.293,3.3126,21.85,56.3,1.103,75.8,83.73,28.6,0.979,7.86,72.5,1.758,404.7,5.43,47.5,0,0,1,0,0
1.8733,0.4211,21.2853,2.446,67.3,20.2,1.2721,167.6,16.76,17.99,7.2037,80,142,0,1,35.67,42.06,79.0,28.2,2.63,2.22,6.385,19.851,2.1823,4.81,26.0,1.265,78.0,46.88,11.1,5.56,7.44,70.98,5.06,277.9,5.56,52.0,0,0,0,1,0
1.751,1.1887,44.1321,2.573,77.6,51.5,1.3616,167.4,16.35,13.19,7.0665,63,140,0,0,40.5,47.19,100.0,18.5,0.61,1.59,7.641,21.586,3.3686,29.83,36.0,1.206,66.2,47.02,103.7,30.0,3.75,68.22,2.618,424.7,4.89,109.5,0,0,0,1,0
1.8061,1.0856,28.9092,2.461,76.8,39.7,2.099,161.4,18.48,14.76,4.8037,91,134,72,0,21.56,49.89,48.6,26.9,3.18,4.38,5.05,18.752,4.259,25.7,28.6,1.214,55.6,74.96,88.3,2.13,11.83,70.53,1.91,192.2,4.66,44.3,0,0,0,0,0
1.6094,0.6682,22.1439,2.396,63.2,25.4,1.1459,171.4,17.64,18.25,4.8942,76,131,0,0,28.46,44.67,83.3,30.1,2.98,1.91,4.794,21.171,4.727,34.76,5.1,1.109,88.3,75.18,92.4,30.0,8.17,72.33,1.759,241.4,2.47,67.5,0,0,0,0,1
1.5924,1.1423,23.4927,2.352,73.9,33.9,1.53,170.6,13.77,12.74,5.8331,85,111,0,0,19.31,46.11,61.5,29.4,2.58,3.03,4.338,26.424,3.7188,34.23,22.8,0.775,78.5,48.45,113.1,2.273,12.32,73.87,0.381,366.4,6.35,32.9,0,0,0,0,0
1.5011,0.975,29.8355,2.152,90.7,43.8,1.2992,165.3,19.87,14.58,4.604,79,147,44,0,21.66,44.31,77.5,32.6,4.22,1.88,5.011,13.562,2.2815,82.77,11.6,0.722,46.7,62.81,123.8,7.573,11.85,66.84,0.89,333.1,5.99,63.2,0,0,0,0,1
0.9979,0.89,39.3596,2.298,77.1,25.7,1.4665,169.3,14.91,17.13,5.1767,74,146,0,1,20.72,43.74,64.6,16.6,3.38,1.59,6.512,18.678,3.8367,22.46,14.5,1.093,52.4,35.59,21.7,6.407,2.0,72.07,1.978,334.4,5.19,49.4,0,0,0,0,0
1.2442,1.1036,19.1824,2.398,106.4,37.8,1.3162,188.0,16.26,15.64,6.8056,74,140,42,2,34.08,44.27,60.4,18.0,1.21,1.64,5.239,15.635,3.3268,48.07,9.5,1.064,62.8,45.49,94.2,5.276,5.63,69.94,1.306,291.3,5.58,57.6,0,0,0,0,0
1.3904,1.172,27.4097,2.494,104.7,43.3,1.1304,182.9,13.59,18.05,4.4339,78,144,0,0,12.74,44.55,98.9,27.3,0.82,1.51,6.229,15.037,2.3312,17.54,8.4,1.288,119.3,34.95,53.2,0.907,13.47,69.45,3.215,469.1,5.31,44.1,0,0,0,0,0
1.3862,1.105,32.1265,2.411,46.9,32.2,1.7929,166.5,16.9,17.09,4.6519,89,149,34,0,38.88,42.24,80.5,20.2,1.84,2.82,6.069,26.667,2.1964,5.61,29.3,0.902,75.0,38.96,25.7,5.617,15.08,69.0,1.003,348.9,3.87,55.1,0,0,0,0,0
1.7003,0.9241,30.2901,2.375,72.1,31.1,1.3657,165.4,16.27,15.22,3.7492,88,149,0,0,40.8,39.53,57.9,24.9,0.63,4.51,4.837,6.777,3.5322,113.3,58.4,1.208,53.1,68.85,96.6,1.985,8.93,69.26,2.646,323.4,5.09,18.6,0,0,0,1,1
1.4173,1.1033,35.7492,2.338,93.9,35.4,1.4853,171.8,14.0,12.9,5.4943,72,110,0,0,26.62,44.3,54.2,10.6,2.1,2.39,6.46,20.74,3.0548,75.78,8.0,1.118,99.8,57.1,70.8,1.905,4.59,68.13,1.164,377.9,4.62,24.4,0,0,0,0,0
1.5821,0.8162,28.8931,2.222,96.2,39.1,1.3586,163.4,12.26,20.89,5.1392,76,119,0,0,6.68,44.82,62.0,31.0,1.62,0.88,5.421,21.424,2.9985,280.0,69.0,0.897,60.8,5.0,53.9,9.858,14.3,74.02,2.582,395.5,3.3,87.0,0,0,0,0,0
1.6773,0.8894,31.3584,2.32,56.6,46.9,0.8434,164.9,15.08,9.06,4.9716,81,142,0,0,8.51,40.79,148.0,24.2,0.69,1.79,6.325,26.913,3.6817,189.02,26.5,1.265,76.1,37.61,72.8,6.184,6.95,75.18,1.792,406.2,5.98,40.2,0,0,1,0,0
1.6771,0.9926,26.5368,2.399,78.2,55.7,1.5765,166.7,16.35,18.52,3.9153,66,146,0,0,25.81,38.64,122.1,18.7,1.01,3.78,5.094,29.214,2.1801,109.9,19.5,0.869,56.5,26.66,94.5,13.081,9.25,70.67,1.999,148.3,2.23,58.4,0,0,1,0,0
1.2104,1.2374,24.8223,2.383,71.9,34.9,1.2398,172.2,13.97,8.38,4.9203,73,126,0,0,27.37,43.82,85.9,27.0,1.32,2.77,5.144,26.625,3.8443,32.44,3.0,1.362,39.7,43.0,58.0,3.487,12.23,72.81,1.062,404.9,4.46,80.1,0,0,0,0,0
1.3472,0.8811,35.9897,2.276,54.7,33.1,1.6658,170.0,15.29,15.93,6.3218,86,153,72,0,6.67,47.49,59.6,14.4,0.32,3.13,4.558,16.822,2.8182,132.9,5.6,1.151,116.9,71.05,25.1,3.942,17.11,72.71,2.624,283.8,4.44,40.7,0,0,0,1,0
1.3629,0.4451,28.993,2.364,114.9,38.7,1.3296,172.6,15.73,18.27,4.7914,85,149,0,0,33.04,44.87,72.5,35.6,3.47,3.53,5.272,30.979,3.3611,130.53,74.4,1.087,65.3,69.4,48.0,2.447,3.63,72.38,1.946,365.8,5.21,90.4,0,0,1,0,0
0.8471,1.4523,25.8027,2.488,69.2,52.7,1.6298,164.6,13.32,15.41,5.1995,77,162,0,0,18.21,40.22,83.0,37.3,1.67,1.75,4.353,25.805,3.4476,36.18,41.1,1.003,41.2,62.84,121.6,1.979,3.33,69.41,1.591,380.4,5.77,92.3,0,0,0,0,0
1.1311,1.2696,21.9296,2.439,65.3,37.2,1.6588,166.4,20.99,12.97,5.0117,79,130,0,2,37.27,37.09,70.5,24.2,8.45,0.97,5.305,14.407,2.5734,79.62,84.3,1.184,82.9,42.57,18.5,0.515,10.19,71.59,2.443,139.1,4.99,41.4,1,0,0,0,0
1.1145,1.0996,18.924,2.467,74.5,36.9,1.0457,157.6,16.94,18.59,3.0837,79,116,0,0,12.28,45.78,89.6,8.0,1.54,2.8,6.032,13.204,3.8565,17.46,53.5,1.102,82.2,41.96,37.3,2.528,6.29,67.02,1.622,279.3,6.69,62.4,0,0,0,1,0
2.0116,1.0443,28.3222,2.377,39.4,43.5,1.4122,169.0,14.55,19.33,5.3085,73,132,0,0,13.28,39.39,86.2,32.0,1.27,1.77,4.506,26.64,1.2761,22.48,45.7,1.041,51.8,66.03,103.5,2.004,7.36,75.78,2.214,344.1,5.72,27.3,0,0,0,0,0
1.6702,1.0653,28.8558,2.53,62.8,44.1,1.0249,165.1,18.77,13.41,5.5424,89,141,78,0,19.03,46.13,88.2,36.9,3.18,1.88,4.875,16.451,1.8498,17.11,11.1,0.95,70.4,38.5,48.3,7.743,6.17,70.56,1.918,352.4,7.4,44.0,0,0,0,0,1
1.1975,1.0829,34.6441,2.38,111.1,31.4,1.8575,163.9,17.86,21.69,4.7414,84,114,0,0,40.62,40.51,75.1,27.2,5.06,3.56,5.435,22.114,1.4182,20.18,2.6,1.175,101.0,55.87,61.7,30.0,12.14,72.32,1.382,317.0,6.25,33.9,0,0,0,0,0
1.3098,1.4528,25.3188,2.361,85.9,36.9,1.5,175.4,16.52,9.44,4.7465,83,123,60,0,15.94,44.6,105.9,19.6,3.52,2.77,3.844,16.828,3.5085,175.04,107.8,1.189,109.8,72.29,68.9,12.313,3.69,70.26,1.304,338.4,8.27,37.0,0,0,0,0,0
1.7352,0.9248,31.8394,2.345,60.7,32.4,0.9628,149.8,19.99,15.61,6.4924,62,113,78,0,32.29,40.73,73.4,34.4,4.67,0.66,4.636,16.661,1.9527,43.11,29.2,1.005,62.4,89.57,69.0,2.615,14.58,77.91,0.623,249.9,2.86,110.3,0,0,0,0,0
1.571,0.8425,25.1403,2.268,81.1,28.5,1.0576,172.9,15.96,20.33,5.1517,86,133,47,0,19.35,44.34,118.8,30.5,0.88,0.78,6.634,22.736,1.7992,41.93,75.3,0.986,94.1,21.08,80.8,1.782,6.97,72.77,1.481,357.0,6.74,9.1,0,0,0,0,0
1.1205,0.4225,28.2894,2.41,59.5,23.7,1.66,155.6,16.07,14.96,4.3243,77,125,65,0,42.46,41.91,80.1,9.7,6.69,3.21,5.426,6.025,0.7637,16.78,4.6,1.227,58.8,5.0,103.9,2.019,12.47,69.75,1.561,492.3,4.84,102.2,0,0,0,0,0
1.6248,1.6647,24.756,2.601,67.0,30.2,1.576,165.1,12.57,16.87,6.2214,72,85,0,0,36.96,44.88,53.1,20.3,2.18,3.06,4.542,16.219,3.0833,198.3,7.8,1.313,68.8,5.0,96.7,1.281,11.03,61.3,1.674,273.3,4.66,8.2,0,0,0,0,0
1.3217,0.8481,26.2698,2.489,73.0,43.0,1.6413,179.4,19.48,16.17,6.9896,86,109,0,0,5.0,44.79,113.4,34.1,6.71,2.6,4.65,22.602,3.615,45.37,61.8,1.137,91.4,62.11,21.8,0.557,6.11,74.72,1.493,468.7,5.73,17.3,0,0,0,0,0
1.2318,0.756,35.5958,2.424,98.0,52.5,1.0146,178.7,12.49,15.34,5.7708,81,117,0,0,5.73,41.41,61.9,35.0,1.65,1.17,6.091,35.41,2.5224,221.35,2.8,0.724,56.8,39.45,30.8,0.683,6.61,69.43,1.701,381.0,5.0,5.0,0,0,0,0,0
1.5922,0.8169,26.9056,2.423,47.2,23.8,1.5002,174.9,18.1,16.89,5.7394,76,148,72,0,44.41,36.21,69.4,35.3,1.82,2.17,6.07,18.886,2.15,244.67,15.4,1.424,75.9,73.29,21.9,8.861,15.79,68.02,2.701,325.4,5.69,37.4,0,0,0,1,1
1.4311,1.2311,16.0,2.446,90.6,34.2,1.54,170.1,14.59,15.18,4.6448,70,116,59,0,40.47,40.13,70.1,15.9,4.41,2.75,4.483,18.892,3.0185,43.14,37.4,1.428,65.7,97.66,77.6,2.286,7.29,73.55,1.035,355.2,2.84,41.1,0,0,0,0,0
1.4748,1.3938,32.8873,2.516,59.9,32.5,1.43,177.7,21.53,16.76,5.266,70,98,47,2,46.5,40.27,86.5,19.2,0.48,2.99,5.181,19.391,3.6989,66.49,152.4,1.113,133.6,77.2,114.4,18.476,7.34,69.13,0.798,339.8,4.3,32.1,0,0,0,1,0
1.2484,1.0219,25.4286,2.436,50.5,30.7,1.7498,178.4,21.8,11.23,5.7668,105,121,0,0,15.21,42.64,95.5,14.7,0.5,1.13,4.363,10.79,3.7574,39.47,18.0,1.323,28.4,41.21,59.0,6.451,14.55,68.59,3.911,305.8,2.86,75.6,0,0,0,1,0
1.5537,0.9213,21.877,2.426,77.6,43.7,1.045,176.5,14.57,16.67,5.3877,87,129,76,0,13.11,41.52,106.3,17.9,6.31,3.02,5.317,15.702,3.1923,73.16,29.6,0.771,81.1,17.75,26.6,7.421,7.83,72.84,1.182,254.8,2.79,105.6,0,0,0,1,0
2.1966,0.8318,27.6964,2.321,88.2,33.5,1.5511,163.7,18.99,12.68,4.5559,99,115,0,0,26.58,38.18,74.3,34.8,1.54,0.65,6.605,21.845,2.4958,38.12,5.0,0.851,115.0,55.79,38.5,3.02,5.44,67.94,1.378,403.5,4.39,5.0,0,0,0,0,0
1.3791,1.0347,19.5445,2.439,75.1,27.6,0.8664,180.9,14.97,14.28,3.8244,92,104,36,0,27.07,42.52,55.5,25.2,3.43,2.83,4.345,16.547,2.4182,200.43,123.0,1.308,69.7,69.04,34.0,2.218,19.15,64.58,0.496,294.2,4.46,22.8,0,0,0,0,0
1.0908,0.9904,27.9562,2.52,91.6,31.3,2.2838,187.4,17.8,16.6,6.509,82,167,0,0,19.98,43.94,117.8,39.2,1.29,3.01,7.141,16.646,2.7892,280.0,33.4,1.556,56.3,55.56,109.1,0.665,7.49,70.84,1.735,440.1,3.35,43.1,0,0,0,0,0
1.5604,1.3186,30.5931,2.509,70.4,34.5,1.1881,174.1,12.16,17.53,6.1791,100,125,0,0,23.35,47.08,38.2,10.6,0.48,1.56,5.019,17.96,2.9719,229.47,36.1,1.375,107.0,39.16,65.9,2.16,17.97,72.9,2.798,216.5,3.69,66.0,0,0,0,0,0
1.5702,1.0224,34.8706,2.269,43.8,33.1,1.333,157.2,18.52,15.92,3.5441,65,116,0,0,5.0,44.53,52.4,27.1,0.64,2.74,4.043,20.63,3.8339,11.21,9.3,1.064,64.3,39.39,47.5,0.572,2.29,73.22,5.545,237.3,4.28,9.8,0,0,0,0,0
0.7239,0.9951,21.2494,2.453,54.9,36.1,1.0005,156.4,17.13,22.25,4.8821,83,132,0,0,41.78,47.01,95.3,30.3,0.94,3.43,3.914,21.042,2.5012,49.08,35.4,1.247,92.0,43.82,55.2,0.85,9.1,80.06,1.218,352.0,3.38,80.5,0,0,0,0,1
1.8749,1.0516,31.5072,2.258,44.9,55.6,1.7863,165.1,14.6,14.14,5.4096,85,137,57,1,17.8,43.05,72.9,29.9,5.11,2.08,6.909,20.364,3.679,5.12,318.6,1.246,100.2,7.71,62.7,6.974,6.3,68.99,3.154,240.6,5.6,26.5,0,0,0,1,0
